name,postcode,last_processed,changesets
Barangaroo,2000,,
Dawes Point,2000,,
Haymarket,2000,,
Millers Point,2000,,
Sydney,2000,,
The Rocks,2000,,
Ultimo,2007,,
Chippendale,2008,,
Darlington,2008,,
Pyrmont,2009,,
Darlinghurst,2010,,
Surry Hills,2010,,
Elizabeth Bay,2011,,
Potts Point,2011,,
Rushcutters Bay,2011,,
Woolloomooloo,2011,,
Alexandria,2015,,
Beaconsfield,2015,,
Eveleigh,2015,,
Redfern,2016,,
Waterloo,2017,,
Zetland,2017,,
Eastlakes,2018,,
Rosebery,2018,,
Banksmeadow,2019,,
Botany,2019,,
Botany Bay,2019,,
Mascot,2020,,
Centennial Park,2021,,
Moore Park,2021,,
Paddington,2021,,
Bondi Junction,2022,,
Queens Park,2022,,
Bellevue Hill,2023,,
Bronte,2024,,
Waverley,2024,,
Woollahra,2025,,
Bondi,2026,,
Bondi Beach,2026,,
North Bondi,2026,,
Tamarama,2026,,
Darling Point,2027,,
Edgecliff,2027,,
Point Piper,2027,,
Double Bay,2028,,
Rose Bay,2029,,
Dover Heights,2030,,
Vaucluse,2030,,
Watsons Bay,2030,,
Clovelly,2031,,
Randwick,2031,,
Daceyville,2032,,
Kingsford,2032,,
Kensington,2033,,
Coogee,2034,,
South Coogee,2034,,
Maroubra,2035,,
Pagewood,2035,,
Chifley,2036,,
Eastgardens,2036,,
Hillsdale,2036,,
La Perouse,2036,,
Little Bay,2036,,
Malabar,2036,,
Matraville,2036,,
Phillip Bay,2036,,
Port Botany,2036,,
Forest Lodge,2037,,
Glebe,2037,,
Annandale,2038,,
Rozelle,2039,,
Leichhardt,2040,,
Lilyfield,2040,,
Balmain,2041,,
Balmain East,2041,,
Birchgrove,2041,,
Enmore,2042,,
Newtown,2042,,
Erskineville,2043,,
St Peters,2044,,
Sydenham,2044,,
Tempe,2044,,
Haberfield,2045,,
Abbotsford,2046,,
Canada Bay,2046,,
Chiswick,2046,,
Five Dock,2046,,
Rodd Point,2046,,
Russell Lea,2046,,
Wareemba,2046,,
Drummoyne,2047,,
Stanmore,2048,,
Lewisham,2049,,
Petersham,2049,,
Camperdown,2050,,
Lavender Bay,2060,,
McMahons Point,2060,,
North Sydney,2060,,
Waverton,2060,,
Kirribilli,2061,,
Milsons Point,2061,,
Cammeray,2062,,
Northbridge,2063,,
Artarmon,2064,,
Crows Nest,2065,,
Greenwich,2065,,
Naremburn,2065,,
St Leonards,2065,,
Wollstonecraft,2065,,
Lane Cove,2066,,
Lane Cove North,2066,,
Lane Cove West,2066,,
Linley Point,2066,,
Longueville,2066,,
Northwood,2066,,
Riverview,2066,,
Chatswood,2067,,
Chatswood West,2067,,
Castlecrag,2068,,
Middle Cove,2068,,
North Willoughby,2068,,
Willoughby,2068,,
Willoughby East,2068,,
Castle Cove,2069,,
Roseville,2069,,
Roseville Chase,2069,,
East Lindfield,2070,,
Lindfield,2070,,
East Killara,2071,,
Killara,2071,,
Gordon,2072,,
Pymble,2073,,
West Pymble,2073,,
North Turramurra,2074,,
South Turramurra,2074,,
Turramurra,2074,,
Warrawee,2074,,
St Ives,2075,,
St Ives Chase,2075,,
Normanhurst,2076,2020-10-15,92514206
North Wahroonga,2076,,
Wahroonga,2076,,
Asquith,2077,,
Hornsby,2077,,
Hornsby Heights,2077,,
Waitara,2077,,
Mount Colah,2079,,
Mount Kuring-Gai,2080,,
Berowra,2081,,
Cowan,2081,,
Berowra Heights,2082,,
Berowra Waters,2082,,
Bar Point,2083,,
Brooklyn,2083,,
Cheero Point,2083,,
Cogra Bay,2083,,
Dangar Island,2083,,
Milsons Passage,2083,,
Mooney Mooney,2083,,
Cottage Point,2084,,
Duffys Forest,2084,,
Terrey Hills,2084,,
Belrose,2085,,
Davidson,2085,,
Frenchs Forest,2086,,
Forestville,2087,,
Killarney Heights,2087,,
Middle Harbour,2087,,
Mosman,2088,,
Kurraba Point,2089,,
Neutral Bay,2089,,
Cremorne,2090,,
Cremorne Point,2090,,
Seaforth,2092,,
Balgowlah,2093,,
Balgowlah Heights,2093,,
Clontarf,2093,,
Manly Vale,2093,,
North Balgowlah,2093,,
Fairlight,2094,,
Manly,2095,,
Curl Curl,2096,,
Freshwater,2096,,
